Time;Temperature;Strain;Stress;Stiffness;Relaxation Modulus;Creep Compliance
0,05;28,61;0,6077;0,001198;141,3;0,1971;5073240
0,07;28,62;1,837;0,002607;101,7;0,1419;7049070
0,08;28,62;3,323;0,004016;86,65;0,1209;8274520
0,1;28,63;4,726;0,005425;82,29;0,1148;8712650
0,12;28,61;6,13;0,006833;79,92;0,1115;8971180
0,13;28,62;7,47;0,008242;79,1;0,1103;9063860
0,15;28,67;8,818;0,009651;78,47;0,1095;9136520
0,17;28,66;10,13;0,01106;78,31;0,1092;9155970
0,18;28,64;11,42;0,01247;78,3;0,1092;9156160
0,2;28,64;12,77;0,01388;77,92;0,1087;9201680
0,22;28,64;14,1;0,01529;77,74;0,1084;9222660
0,23;28,65;15,36;0,0167;77,94;0,1087;9198690
0,25;28,64;16,69;0,0181;77,78;0,1085;9218190
0,27;28,64;18,08;0,01951;77,36;0,1079;9268140
0,28;28,64;19,34;0,02092;77,58;0,1082;9241630
0,3;28,64;20,51;0,02233;78,05;0,1089;9185530
0,32;28,64;21,58;0,02374;78,86;0,11;9092010
0,33;28,65;22,54;0,02515;79,99;0,1116;8962770
0,35;28,64;23,46;0,02656;81,16;0,1132;8834140
0,37;28,64;24,37;0,02797;82,29;0,1148;8713140
0,38;28,65;25,2;0,02937;83,58;0,1166;8578480
0,4;28,68;25,95;0,03078;85,07;0,1186;8428240
0,42;28,68;26,84;0,03219;85,99;0,1199;8337750
0,43;28,66;27,62;0,0336;87,22;0,1216;8220480
0,45;28,66;28,5;0,03501;88,08;0,1228;8140010
0,47;28,68;29,45;0,03642;88,65;0,1236;8087820
0,48;28,69;30,37;0,03783;89,32;0,1246;8027420
0,5;28,69;31,42;0,03924;89,52;0,1249;8008680
0,52;28,75;32,39;0,04065;89,98;0,1255;7968300
0,53;28,83;33,18;0,04205;90,87;0,1267;7890060
0,55;28,82;34,12;0,04346;91,34;0,1274;7849320
0,57;28,81;35,19;0,04487;91,43;0,1275;7841720
0,58;28,8;36,27;0,04628;91,49;0,1276;7836590
0,6;28,79;37,29;0,04769;91,69;0,1279;7819690
0,62;28,81;38,17;0,0491;92,23;0,1286;7773490
0,63;28,84;39,03;0,05051;92,79;0,1294;7727050
0,65;28,81;39,95;0,05192;93,17;0,13;7695270
0,67;28,81;40,81;0,05333;93,67;0,1307;7653910
0,68;28,78;41,74;0,05473;94,02;0,1311;7625410
0,7;28,79;42,67;0,05614;94,33;0,1316;7600960
0,72;28,78;43,57;0,05755;94,71;0,1321;7570320
0,73;28,77;44,42;0,05896;95,17;0,1327;7533530
0,75;28,76;45,24;0,06037;95,66;0,1334;7494660
0,77;28,74;46,03;0,06178;96,23;0,1342;7450260
0,78;28,73;46,7;0,06319;97,01;0,1353;7390390
0,8;28,71;47,33;0,0646;97,86;0,1365;7326460
0,82;28,71;47,91;0,066;98,77;0,1378;7259120
0,83;28,71;48,49;0,06741;99,68;0,139;7192680
0,85;28,68;49,05;0,06882;100,6;0,1403;7126940
0,87;28,66;49,58;0,07023;101,6;0,1416;7059840
0,88;28,68;50,06;0,07164;102,6;0,1431;6988020
0,9;28,68;50,55;0,07305;103,6;0,1445;6919560
0,92;28,72;51,06;0,07446;104,5;0,1458;6858170
0,93;28,72;51,6;0,07587;105,4;0,147;6801420
0,95;28,73;52,09;0,07728;106,4;0,1483;6741210
0,97;28,73;52,55;0,07868;107,4;0,1497;6678630
0,98;28,71;53,01;0,08009;108,3;0,1511;6618010
1;28,71;53,49;0,0815;109,2;0,1524;6563080
1,02;28,69;53,98;0,08291;110,1;0,1536;6511070
1,03;28,7;54,49;0,08432;110,9;0,1547;6462770
1,05;28,7;55,01;0,08573;111,7;0,1558;6417100
1,07;28,69;55,55;0,08714;112,5;0,1569;6374980
1,08;28,69;56,1;0,08855;113,2;0,1578;6336140
1,1;28,69;56,6;0,08996;113,9;0,1589;6292120
1,12;28,68;57,03;0,09136;114,9;0,1602;6242100
1,13;28,68;57,43;0,09277;115,8;0,1615;6190230
1,15;28,68;57,8;0,09418;116,8;0,163;6136680
1,17;28,67;58,14;0,09559;117,9;0,1644;6081980
1,18;28,66;58,46;0,097;119;0,1659;6026580
1,2;28,65;58,81;0,09841;120;0,1673;5975980
1,22;28,68;59,17;0,09982;120,9;0,1687;5928140
1,23;28,71;59,51;0,1012;122;0,1701;5879200
1,25;28,65;59,85;0,1026;123;0,1715;5831020
1,27;28,66;60,21;0,104;123,9;0,1728;5787250
1,28;28,66;60,56;0,1055;124,8;0,1741;5743260
1,3;28,63;60,95;0,1069;125,7;0,1753;5703350
1,32;28,64;61,36;0,1083;126,5;0,1765;5667020
1,33;28,66;61,78;0,1097;127,3;0,1775;5632680
1,35;28,65;63,16;0,1111;126,1;0,1759;5685100
1,37;28,65;66,8;0,1125;120,7;0,1684;5938250
1,38;28,64;68,32;0,1139;119,5;0,1667;5997900
1,4;28,64;69,4;0,1153;119,1;0,1662;6018460
1,42;28,65;70,35;0,1167;119;0,1659;6026830
1,43;28,65;71,2;0,1181;119;0,1659;6026770
1,45;28,67;71,95;0,1195;119,1;0,1661;6019070
1,47;28,66;72,63;0,121;119,4;0,1665;6004550
1,48;28,65;73,23;0,1224;119,8;0,1671;5984900
1,5;28,65;73,85;0,1238;120,2;0,1676;5966650
1,52;28,64;74,44;0,1252;120,6;0,1681;5947130
1,53;28,63;74,97;0,1266;121,1;0,1688;5922620
1,55;28,63;75,49;0,128;121,6;0,1695;5897970
1,57;28,62;76,01;0,1294;122,1;0,1702;5874030
1,58;28,61;76,48;0,1308;122,6;0,1711;5846190
1,6;28,59;76,97;0,1322;123,2;0,1718;5821230
1,62;28,61;77,6;0,1336;123,5;0,1722;5806970
1,63;28,63;78,64;0,135;123,1;0,1717;5823190
1,65;28,63;80,72;0,1364;121,2;0,169;5916150
